epoch,Batch_size,lr,runtime,loss,F_measure_k
0,40,0.001,0:01:58,0.6978052854537964,0.8723203064689578
1,40,0.002,0:02:00,0.6890845894813538,0.8721061478581099
2,40,0.003,0:01:59,0.6819834113121033,0.8835830872021837
3,40,0.004,0:02:00,0.682229220867157,0.8837146077534156
